90    141
     1       364       864
     2       888      1028
     3      1008       664
     4       660       584
     5       606       492
     6      1216       330
     7      1376       940
     8       806       834
     9       500       744
    10       276       516
    11       412       264
    12       788       230
    13       900       296
    14      1224       510
    15      1430       562
    16      1528       340
    17      1528       694
    18      1244       774
    19      1202       996
    20      1292      1068
    21       758      1062
    22       460      1056
    23       168      1072
    24        94       960
    25       310       678
    26       568       972
    27       770       740
    28       858       550
    29       464       302
    30       256       468
    31       144       298
    32       128       234
    33       258       184
    34       634       132
    35       748       372
    36      1154       234
    37      1226       130
    38      1522       148
    39      1440       344
    40      1606       968
    41      1404       778
    42      1080       852
    43      1078      1114
    44       850      1134
    45       684       976
    46       654       848
    47       434       914
    48       170       878
    49       114       654
    50       314       992
    51       452       604
    52       468       424
    53       594       298
    54       474       148
    55       986       414
    56      1010       190
    57      1278       688
    58       264       812
    59       670      1160
    60       230      1138
    61      1152       682
    62       594       402
    63      1446       850
    64      1482      1114
    65      1582       562
    66        90       452
    67       558       678
    68       936       618
    69       822       932
    70      1178      1178
    71       296       374
    72       104       134
    73      1416       236
    74      1572      1106
    75       978      1038
    76       446      1132
    77       890       444
    78       946       772
    79      1396       656
    80      1604       196
    81       740       554
    82      1148       936
    83      1320       848
    84      1370      1146
    85      1604       746
    86      1194       424
    87       186       746
    88       684       274
    89       802       142
    90      1070       312
     1        14         3
     2        57        18
     3        23        22
     4        22        44
     5        44        43
     6        43        20
     7        20        40
     8        40        17
     9        17        15
    10        15        16
    11        16        38
    12        38        37
    13        37        39
    14        39         6
    15         6        36
    16        36        56
    17        56        55
    18        55        14
    19        14        28
    20        28        35
    21        35        13
    22        13        12
    23        12        34
    24        34        54
    25        54        33
    26        33        32
    27        32        31
    28        30        31
    29        31        11
    30        11        29
    31        29        53
    32        53        34
    33        29        52
    34        52         5
    35         5         4
    36         4        27
    37        27         8
    38         8        42
    39        42         3
    40         3        27
    41        28        27
    42        57        41
    43        41        17
    44        40         7
    45        19        20
    46         7        19
    47        18        19
    48         8        46
    49        46        45
    50        45        21
    51        21        44
    52        44         2
    53         2        42
    54        42        43
    55        18        42
    56        57        14
    57        14        15
    58        12        56
    59         5        51
    60        10        51
    61        52        10
    62        10        30
    63        30        49
    64        49        48
    65        48        24
    66        24        23
    67        23        50
    68        50         1
    69         1        47
    70        47         9
    71         9        25
    72        25        49
    73        51         9
    74         9         8
    75        46        47
    76        22        26
    77        26        46
    78        39        14
    79        55         6
    80        37        36
    81        76        22
    82        76        59
    83        23        60
    84        60        76
    85        59        44
    86        43        70
    87        70        20
    88        20        84
    89        84        64
    90        64        74
    91        74        40
    92        17        85
    93        85        40
    94        16        65
    95        65        17
    96        38        80
    97        80        16
    98        73        39
    99        37        73
   100        55        90
   101        90        36
   102        14        86
   103        86         6
   104        41        79
   105        15        79
   106        79        57
   107        41        63
   108        63        83
   109        83         7
   110        61        18
   111        42        61
   112        19        82
   113        82        42
   114        43        75
   115        75         2
   116         2        69
   117        69         8
   118         8        78
   119        78         3
   120         3        68
   121        68        28
   122        28        81
   123        81        62
   124        62        35
   125        35        88
   126        88        34
   127        35        77
   128        77        55
   129        12        89
   130        89        56
   131        72        54
   132        32        72
   133        30        66
   134        66        49
   135        49        87
   136        87        58
   137        58         1
   138        51        67
   139        67         4
   140        30        71
   141        71        52
